ID,Sentiment
1233468634628050944,NEUTRAL
1233468158893346816,NEUTRAL
1233465905897705472,NEUTRAL
1233466900874702848,NEUTRAL
1233458826139009024,NEUTRAL
1233465578322628608,NEUTRAL
1233452769178046464,NEUTRAL
1233455109419524096,NEUTRAL
1233465022136889344,NEGATIVE
1233457412113358848,NEGATIVE
1233465617572745216,NEUTRAL
1233458503223857152,NEGATIVE
1233460693241925632,NEGATIVE
1233466505263710208,NEGATIVE
1233469022131367936,NEUTRAL
1233467601814196224,NEUTRAL
1233467003173769216,NEUTRAL
1233461866849923072,NEUTRAL
1233458829465202688,NEUTRAL
1233465311040614400,NEUTRAL
1233455768722006016,NEUTRAL
1233462119120691200,NEUTRAL
1233457673338785792,NEUTRAL
1233457467167666176,POSITIVE
1233454338758017024,NEGATIVE
1233468120293085184,NEGATIVE
1233453781314084864,NEGATIVE
1233468611399995392,POSITIVE
1233456873984135168,POSITIVE
1233466053054869504,NEGATIVE
1233458333044084736,NEUTRAL
1233469182362234880,NEUTRAL
1233467284942917632,NEGATIVE
1233468352053510144,NEUTRAL
1233456888513208320,NEGATIVE
1233466837251178496,NEUTRAL
1233465294762500096,NEUTRAL
1233469057157996544,NEUTRAL
1233466300153946112,NEUTRAL
1233457338029309952,NEGATIVE
1233453201850032128,NEGATIVE
1233458410500370432,NEUTRAL
1233467189455446016,NEUTRAL
1233461557675384832,NEGATIVE
1233466833367379968,NEUTRAL
1233468678269755392,NEGATIVE
1233458621029240832,POSITIVE
1233460584072523776,NEGATIVE
1233456842535292928,NEUTRAL
1233468661467418624,NEGATIVE
1233456000277078016,NEGATIVE
1233467628930420736,NEUTRAL
1233468639556272128,NEUTRAL
1233456850869288960,NEUTRAL
1233468677967794176,NEUTRAL
1233465688808968192,NEGATIVE
1233456100734840832,NEGATIVE
1233467701747703808,NEUTRAL
1233460738209013760,NEUTRAL
1233454208868810752,NEUTRAL
1233467846920941568,POSITIVE
1233459443289010176,NEUTRAL
1233456629166809088,NEGATIVE
1233433559601303552,NEGATIVE
1233459177911128064,NEUTRAL
1233190117529071616,POSITIVE
1233192482155843584,NEGATIVE
1233192574585671680,NEUTRAL
1233456590138871808,NEUTRAL
1233192582982914048,NEUTRAL
1233192380708392960,NEUTRAL
1233188812060286976,NEUTRAL
1233459173804969984,NEGATIVE
1233456678583955456,NEUTRAL
1233187820912562176,NEUTRAL
1233455838960013312,NEUTRAL
1233433873347903488,NEGATIVE
1233189588824313856,NEGATIVE
1233424547023654912,NEGATIVE
1233189314537951232,NEGATIVE
1233456108200656896,NEGATIVE
1233434735227084800,NEUTRAL
